"Gene","log2FC","p_val","Instability_Score","Significant"
"Cgn",-0.287671724647428,0.563785138090387,7.4229404394075,"Non-Significant"
"Apoc2",0.233068041388975,0.400272299629811,7.34895392631732,"Non-Significant"
"Myh9",0.479875597960694,0.139877256269156,7.3042080003432,"Non-Significant"
"Spp2",0.0885972522840568,0.799214547135099,7.30407197735551,"Non-Significant"
"Jchain",-1.37037549621404,0.374540282521375,7.27218703601401,"Non-Significant"
"Azgp1",-0.115392678355839,0.293667230197745,7.26560576545628,"Non-Significant"
"Cd109",-0.00190922776836189,0.983749266545572,7.24528303101096,"Non-Significant"
"Psmb3",-0.118969843646104,0.696535608695974,7.16856142336561,"Non-Significant"
"Cpb2",-0.015485895957454,0.749804326996023,7.16685455589443,"Non-Significant"
"Cfp",-0.328598411670086,0.289547750386977,7.16569327182543,"Non-Significant"
"LOC102923238",-0.0504316701501573,0.772984052771172,7.16094412801329,"Non-Significant"
"LOC102917436",0.385646959682333,0.0676170378834328,7.15013765303366,"Non-Significant"
"C1qa",0.624276436645617,0.0230883271168066,7.09719952650401,"Significant"
"Proz",0.0949709034754473,0.640514568254489,7.07647309935403,"Non-Significant"
"Aldoa",0.269949237124212,0.15324125354063,7.07496346349476,"Non-Significant"
"Rap1b",0.369368013829957,0.320312528043103,7.04781978224211,"Non-Significant"
"Cd5l",-0.589143193256705,0.0543963964884702,7.04272839558091,"Non-Significant"
"Postn",0.0514852038209312,0.634373094716326,7.02411429746208,"Non-Significant"
"LOC102919005",-0.25375633332256,0.0349857355761699,6.96880231625598,"Non-Significant"
"Anpep",0.195392935620777,0.121414458362673,6.95816214115889,"Non-Significant"
"F13b",0.237827283316856,0.310325162078247,6.92998186517859,"Non-Significant"
"Serpina10",-0.323935115370588,0.0857158762379256,6.87576187392437,"Non-Significant"
"LOC102923317",-0.11837060137796,0.656178477250581,6.8734427342156,"Non-Significant"
"LOC102917133",0.169673132834429,0.194418998694398,6.84600273249064,"Non-Significant"
"Serpinb10",0.561834880424287,0.148563169491434,6.77612155581279,"Non-Significant"
"F12",-0.0934098875556373,0.28195902198562,6.75298783183396,"Non-Significant"
"Ctsf",-0.0593465263613986,0.680382995155495,6.74405871505518,"Non-Significant"
"Psma1",0.115860442698896,0.539815563589262,6.74035019707889,"Non-Significant"
"Xdh",0.329933329445458,0.269384958699642,6.73548251499513,"Non-Significant"
"Apoc4",0.0765918955159606,0.73490353769394,6.73213560287276,"Non-Significant"
"Pcyox1",0.105634783267226,0.466854786916511,6.72527438115253,"Non-Significant"
"Ywhaz",0.411209051392342,0.116251196264568,6.69693087899791,"Non-Significant"
"Psap",0.0729946062030891,0.553369565982536,6.69339120890709,"Non-Significant"
"LOC102922692",-0.239999505875499,0.188727584516527,6.68050720745492,"Non-Significant"
"Man1a1",0.0654729303289656,0.620362369619412,6.67307131560703,"Non-Significant"
"LOC102918459",-0.40910865576625,0.224035202565088,6.66832325934839,"Non-Significant"
"LOC102925270",0.0459894341586526,0.842174059129459,6.63007460205542,"Non-Significant"
"LOC102904155",0.285027541396293,0.222940253642342,6.62191121810834,"Non-Significant"
"Enpp2",0.0633843259043765,0.726329420745178,6.60538305283507,"Non-Significant"
"P4hb",0.432217660590927,0.109191436438236,6.58905351476041,"Non-Significant"
"Cpn1",-0.230223527390077,0.240017015667651,6.49801878391743,"Non-Significant"
"Plt",0.286684850629744,0.162478838061005,6.48231057612236,"Non-Significant"
"C8a",-0.14285251798565,0.652559924312146,6.46857667562509,"Non-Significant"
"LOC102917436.1",0.0547674774813487,0.679519675640312,6.44795902600238,"Non-Significant"
"Blvrb",0.64959669785792,0.0198009210022975,6.44474320116608,"Significant"
"Hspa5",0.105214382648752,0.344770670182224,6.43771662752905,"Non-Significant"
"Prdx2",0.937114641557965,0.0153793900169294,6.43760808310684,"Significant"
"Dnmbp",1.09774029204898,0.127148543900827,6.41504795529293,"Non-Significant"
"Syne2",1.56817163860472,0.14745077457902,6.40953781863646,"Non-Significant"
"Gpx5",0.479287405017715,0.179641191149217,6.40161704535493,"Non-Significant"
"Thbs4",0.234710536239126,0.207562355585211,6.39338313561473,"Non-Significant"
"Lum",-0.337733802546319,0.0148199452398264,6.39000132788494,"Non-Significant"
"LOC102922753",-0.305805563550829,0.169346791565623,6.37880406819075,"Non-Significant"
"Gnptg",0.0931311713222396,0.30276589948096,6.36747436940062,"Non-Significant"
"LOC102903317",0.167571523669832,0.441710825845229,6.35292122310421,"Non-Significant"
