"Gene","PC1","PC2"
"LOC128105727",-0.00202206180348968,0.0206750435864729
"LOC128094855",-0.00128080488296987,-0.0200142176148832
"LOC128125281",0.00391836127358979,-0.0197556444824349
"LOC128102727",-0.00190456503633994,0.0197475788784927
"LOC128099525",-0.0013213281410606,0.0196897306187311
"LOC128109806",0.00356189618799765,0.0196873536375227
"LOC128100505",-0.0076623147888205,0.0194851290947465
"Steap2",-0.00682921290134526,0.019429213060976
"LOC128094602",0.00493314784197578,-0.0193807492744357
"LOC128095828",-0.0055985424424391,0.0189466223598888
"Aasdhppt",0.000953431402114531,-0.0188391745949234
"LOC128111658",0.000855907157804995,0.0187280909262634
"LOC128110536",-0.00330499450251509,-0.0186209405583571
"LOC128098939",-0.00318021363053429,-0.018539828921488
"LOC128094353",-0.000905684634979572,0.0185006453205187
"LOC128110361",0.00250050874434978,0.0184494253875525
"Kiaa1191",-0.00350242309640412,0.0184173964798799
"Atp6v1g2",-0.00457754661240011,0.0183854345745272
"LOC128103337",-0.00321622767012055,0.0183293586710255
"Esyt2",0.00807936074356412,-0.0182620367819273
"LOC128098092",-0.000444441598359247,0.0181669961893091
"Ap2b1",0.00150375747761065,-0.0181182886722811
"Evi2a",-0.00297046554926746,0.0181115609559812
"Hmbox1",0.00291944648525849,-0.0181040470168196
"Siglec10",-0.00217950459820441,0.0180999900447813
"Hoxc5",0.00236485661705603,0.0180823442546308
"Spty2d1",0.00921273218451833,-0.0180461101181576
"LOC128099578",-0.00404871863942303,0.018041030463573
"LOC128101970",-0.00608898089432495,0.0179587972141905
"LOC128111208",0.00287382979742619,0.0178726640059047
"Krt10",0.00579558618287705,-0.0177757941692301
"LOC128099580",0.00745952120567282,0.0177741306527939
"Treml4",0.000272786244731964,0.0177226866772579
"LOC128098383",-0.00962759640862944,0.0176719057272638
"LOC128111655",-0.00138321179342091,0.0176615266893886
"Hvcn1",0.00477034143036626,0.0176495898977781
"Wipi2",0.00510885378713291,-0.0176218032828633
"LOC128120048",0.00419316811604482,0.0176058007098051
"Mtss2",-0.0023083963325933,0.0175829464427886
"LOC128105789",-0.00789292224693433,0.0175458133169344
"Ubash3a",0.00988227529232169,0.0175436722018726
"Spcs1",-0.00444876894238498,0.0174446490493308
"Steap1",-0.00847454360461911,0.0174418982481549
"Scaf4",0.00914723999925545,-0.0174148197319198
"Fabp5",-0.00108585309047409,0.0174069066162218
"Sft2d2",0.00945120133025913,0.0173793786737442
"Tab1",-0.00774537178526456,0.0173651196757267
"Pnpla7",0.00502757391002417,-0.0173641952829764
"Mgll",0.00433853129138385,-0.0173152701512859
"LOC128116735",0.00207323403323165,0.0172810916712439
"Cep126",0.0061215280682553,-0.0172693910201285
"Acadm",-0.0097909356367677,0.0172490555036018
"Zbtb6",0.00120754364562194,-0.0172262852325657
"LOC128110368",0.0069192913213355,0.01720080833307
"Ncapg2",0.0120756513068943,-0.0171913128573166
"LOC128109450",-4.10697579416161e-05,0.0171893701386685
"LOC128110757",0.00814066837567328,-0.0171859657001351
"Agmo",-0.00506558785601182,0.0171663076024441
"LOC128107666",0.00596133301522182,0.0170874671844961
"LOC128118323",-0.00575380775095697,0.0170772995168725
"LOC128118580",-0.0046273680563963,0.0170743428477746
"Plk3",-0.000703656874529372,0.0170613185764756
"Pgbd1",0.00420148131349477,-0.0169783274903987
"Atp13a4",0.00234670984699565,0.0169536818552266
"LOC128102743",-0.00755022027073729,0.0169502799481376
