"Sample","Group","Shannon_Standard","Shannon_Rarefied","Simpson","Richness","Evenness"
"B_1","Bonded",7.47695668380434,7.47103346254721,0.996632401952998,20409,0.753442076236541
"B_2","Bonded",7.73870054055013,7.73276707708994,0.99741119262407,21124,0.777121131462765
"B_3","Bonded",7.72419859713675,7.71858026538708,0.997897778677309,21484,0.774350800148296
"B_4","Bonded",7.64282189650782,7.63748079626764,0.996777034775757,20739,0.768913256959651
"B_5","Bonded",7.74400510720637,7.73887903303412,0.996544468508923,20578,0.779704228630401
"B_6","Bonded",7.88733276576237,7.88223788586618,0.998630495248962,21113,0.792088226180644
"BD_1","Bond Disrupted",7.67999714277192,7.67401384214515,0.997292406150904,20890,0.77208979398183
"BD_2","Bond Disrupted",7.77448879352526,7.7689454593667,0.998055161267041,21135,0.780674179061179
"BD_3","Bond Disrupted",7.62182378988365,7.61603737825451,0.997180284603738,20790,0.766611293216114
"BD_4","Bond Disrupted",7.56516458835422,7.55868316481375,0.996178854518952,21228,0.759320146427443
"BD_5","Bond Disrupted",7.70165555941498,7.69549763195258,0.998030770464618,20860,0.774379050815038
"BD_6","Bond Disrupted",7.77287250166497,7.76758911279965,0.998457075039008,21189,0.780311937585864
"V_1","Virgin",7.81379776862743,7.80801783454477,0.99849003151697,20987,0.785175434463956
"V_2","Virgin",7.31103996567316,7.30356464868069,0.9921454874643,21043,0.73445876608172
"V_3","Virgin",7.82485019891978,7.81981286712843,0.998181174279702,21029,0.786128117103022
"V_4","Virgin",7.90861245512387,7.90332052740899,0.998735634608822,20780,0.795495302796257
"V_5","Virgin",7.73444870228505,7.72944937665241,0.997741780316332,20841,0.777747565804622
